,0
0,0.13201338052749634
1,0.2750501036643982
2,0.16894188523292542
3,0.6100344657897949
4,0.8573143482208252
5,0.7597692608833313
6,0.7224287390708923
7,0.5920692682266235
8,0.6898630261421204
9,0.8627690076828003
10,0.8326873183250427
11,0.8140864968299866
12,0.5647906064987183
13,0.06594665348529816
14,0.9804988503456116
15,0.9804988503456116
16,0.8054132461547852
17,0.5616501569747925
18,0.509386420249939
19,0.545830488204956
20,0.2686155140399933
21,0.2069910764694214
22,0.2586142420768738
23,0.1837036907672882
24,0.16634014248847961
25,0.09363147616386414
26,0.24705225229263306
27,0.09885945171117783
28,0.26836884021759033
29,0.19321367144584656
30,0.25088515877723694
31,0.2604697048664093
32,0.43190881609916687
33,0.09197432547807693
34,0.0767805352807045
35,0.061190132051706314
36,0.26591193675994873
37,0.09757152199745178
38,0.16729587316513062
39,0.704251229763031
40,0.21174481511116028
41,0.26056960225105286
42,0.11438283324241638
43,0.800140380859375
44,0.8244116902351379
45,0.36432090401649475
46,0.12579074501991272
47,0.1249137818813324
48,0.13463498651981354
49,0.22494597733020782
50,0.12132173776626587
51,0.6462176442146301
52,0.4497872591018677
53,0.12910626828670502
54,0.4483147859573364
55,0.21074363589286804
56,0.1348286122083664
57,0.12444987893104553
58,0.23437058925628662
59,0.022746846079826355
60,0.13918285071849823
61,0.05640998110175133
62,0.1259591430425644
63,0.7315916419029236
64,0.42383530735969543
65,0.48321932554244995
66,0.41769644618034363
67,0.1325126588344574
68,0.22421735525131226
69,0.37426891922950745
70,0.4287397563457489
71,0.10831911116838455
72,0.17318013310432434
73,0.21121452748775482
74,0.4557752013206482
75,0.1585395634174347
76,0.17672260105609894
77,0.13647422194480896
78,0.1334645301103592
79,0.1365950107574463
80,0.10426411032676697
81,0.5281445980072021
82,0.08256798982620239
83,0.18151894211769104
84,0.3427314758300781
85,0.012881672009825706
86,0.08757199347019196
87,0.3110989034175873
88,0.08608637005090714
89,0.189874529838562
90,0.20891566574573517
91,0.07499194145202637
92,0.19596493244171143
93,0.18863755464553833
94,0.10439419746398926
95,0.09521583467721939
96,0.06262199580669403
97,0.1731172651052475
98,0.2172573059797287
99,0.5937755703926086
100,0.18477892875671387
101,0.6659797430038452
102,0.2676316499710083
103,0.6842203140258789
104,0.1303829550743103
105,0.24531197547912598
106,0.696561336517334
107,0.8256602883338928
108,0.706135094165802
109,0.15100441873073578
110,0.32239651679992676
111,0.11733528971672058
112,0.7373064160346985
113,0.0703156515955925
114,0.1399705857038498
115,0.08624155819416046
116,0.1370864361524582
117,0.20194567739963531
118,0.3912743031978607
119,0.18470297753810883
120,0.5738247036933899
121,0.9067527055740356
122,0.26283034682273865
123,0.3694881498813629
124,0.22426022589206696
125,0.4904659688472748
126,0.45028114318847656
127,0.7261978983879089
128,0.06842602789402008
129,0.6419526934623718
130,0.9777688980102539
131,0.6907036900520325
132,0.20572979748249054
133,0.22537782788276672
134,0.5303581357002258
135,0.4150426983833313
136,0.13021866977214813
137,0.13830028474330902
138,0.5650709271430969
139,0.2093338519334793
140,0.11157350242137909
141,0.08976541459560394
142,0.4755563735961914
143,0.46980589628219604
144,0.1262034922838211
145,0.2413155734539032
146,0.2440692037343979
147,0.15072526037693024
148,0.09490536153316498
149,0.40190747380256653
150,0.22846563160419464
151,0.14963969588279724
152,0.1756799817085266
153,0.13519418239593506
154,0.15084682404994965
155,0.1353446990251541
156,0.31745848059654236
157,0.08943481743335724
158,0.12863747775554657
159,0.5976731777191162
160,0.5594117045402527
161,0.4101964235305786
162,0.14338603615760803
163,0.14066816866397858
164,0.22568710148334503
165,0.23355364799499512
166,0.1598108857870102
167,0.08500640094280243
168,0.3593180179595947
169,0.32247617840766907
170,0.08296767622232437
171,0.6186674237251282
172,0.11158057302236557
173,0.28588443994522095
174,0.16601110994815826
175,0.6651486158370972
176,0.27133429050445557
177,0.18631932139396667
178,0.3293956220149994
179,0.6862797141075134
180,0.19607965648174286
181,0.6993096470832825
182,0.19509479403495789
183,0.18032726645469666
184,0.6953232288360596
185,0.15806081891059875
186,0.48996028304100037
187,0.07800903171300888
188,0.6827072501182556
189,0.8780094981193542
